損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
**    整備外注費(事業), ,"112,785.00", , ,"112,785.00", , ,"112,785.00", ,**    整備外注費(事業),"16,080.09","112,785.00",14.26,"160,858.00","112,785.00",142.62, ,"112,785.00", ,**    整備外注費(事業),"10,083.00", , , , , , , , ,**    整備外注費(事業), , , , , , , , , 
*     6112201  事業-運航整備外注費, ,"112,785.00", , ,"112,785.00", , ,"112,785.00", ,*     6112201  事業-運航整備外注費,"16,080.09","112,785.00",14.26,"160,858.00","112,785.00",142.62, ,"112,785.00", ,*     6112201  事業-運航整備外注費,"10,083.00", , , , , , , , ,*     6112201  事業-運航整備外注費, , , , , , , , , 
      CNY  中国元, ,"112,785.00", , ,"112,785.00", , ,"112,785.00", ,      CNY  中国元,"16,080.09","112,785.00",14.26,"160,858.00","112,785.00",142.62, ,"112,785.00", ,      CNY  中国元,"10,083.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    運航運送委託費(事業),"265,548.60","550,250.00",48.26,"390,789.58","565,782.00",69.07,"502,641.93","550,250.00",91.35,**    運航運送委託費(事業),"515,049.64","565,782.00",91.03,"540,786.07","565,782.00",95.58,"564,780.43","550,250.00",102.64,**    運航運送委託費(事業),"518,886.72", , , , , , , , ,**    運航運送委託費(事業), , , , , , , , , 
*     6112302  事業-旅客運送業務委託費,"226,815.00","472,816.00",47.97,"340,347.00","488,348.00",69.69,"430,215.00","472,816.00",90.99,*     6112302  事業-旅客運送業務委託費,"446,870.00","488,348.00",91.51,"462,170.00","488,348.00",94.64,"28,989.00","472,816.00",6.13,*     6112302  事業-旅客運送業務委託費,"439,200.00", , , , , , , , ,*     6112302  事業-旅客運送業務委託費, , , , , , , , , 
      CNY  中国元,"226,815.00","472,816.00",47.97,"340,347.00","488,348.00",69.69,"430,215.00","472,816.00",90.99,      CNY  中国元,"446,870.00","488,348.00",91.51,"462,170.00","488,348.00",94.64,"28,989.00","472,816.00",6.13,      CNY  中国元,"439,200.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112304  事業-保安業務委託費,"38,733.60","77,434.00",50.02,"50,442.58","77,434.00",65.14,"72,426.93","77,434.00",93.53,*     6112304  事業-保安業務委託費,"68,179.64","77,434.00",88.05,"78,616.07","77,434.00",101.53,"535,791.43","77,434.00",691.93,*     6112304  事業-保安業務委託費,"79,686.72", , , , , , , , ,*     6112304  事業-保安業務委託費, , , , , , , , , 
      CNY  中国元,"38,733.60","77,434.00",50.02,"50,442.58","77,434.00",65.14,"72,426.93","77,434.00",93.53,      CNY  中国元,"68,179.64","77,434.00",88.05,"78,616.07","77,434.00",101.53,"535,791.43","77,434.00",691.93,      CNY  中国元,"79,686.72", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    機内サービス費(事業),"193,391.66","281,121.00",68.79,"386,181.11","274,150.00",140.86,"490,421.77","283,563.00",172.95,**    機内サービス費(事業),"303,659.12","336,800.00",90.16,"340,587.77","336,302.00",101.27,"396,153.50","288,224.00",137.45,**    機内サービス費(事業), , , ,"327,694.54", , ,"-327,694.54", , ,**    機内サービス費(事業), , , , , , , , , 
*     6112501  事業-機内食費,"193,391.66","259,621.00",74.49,"386,181.11","251,940.00",153.28,"490,421.77","262,063.00",187.14,*     6112501  事業-機内食費,"303,659.12","314,590.00",96.53,"340,587.77","314,092.00",108.44,"396,153.50","266,724.00",148.53,*     6112501  事業-機内食費, , , ,"327,694.54", , ,"-327,694.54", , ,*     6112501  事業-機内食費, , , , , , , , , 
