損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
*     6112304  事業-保安業務委託費, , , , , , , , , ,*     6112304  事業-保安業務委託費, , , , , , , , , ,*     6112304  事業-保安業務委託費, ,53142 , ,75774 ,53142 ,143 ,65808 ,53142 ,124 ,*     6112304  事業-保安業務委託費, ,53142 , , ,53142 , , ,53142 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,53142 , ,75774 ,53142 ,143 ,65808 ,53142 ,124 ,      CNY  中国元, ,53142 , , ,53142 , , ,53142 , 
**    機内サービス費(事業), , , , , , , , , ,**    機内サービス費(事業), , , , , , , , , ,**    機内サービス費(事業), ,276777 , ,375205 ,166104 ,226 ,330240 ,183912 ,180 ,**    機内サービス費(事業), ,177414 , , ,152103 , , ,162999 , 
*     6112501  事業-機内食費, , , , , , , , , ,*     6112501  事業-機内食費, , , , , , , , , ,*     6112501  事業-機内食費, ,254922 , ,375205 ,153570 ,244 ,327695 ,170650 ,192 ,*     6112501  事業-機内食費, ,164868 , , ,140309 , , ,149737 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,254922 , ,375205 ,153570 ,244 ,327695 ,170650 ,192 ,      CNY  中国元, ,164868 , , ,140309 , , ,149737 , 
*     6112503  事業-機内飲料品費, , , , , , , , , ,*     6112503  事業-機内飲料品費, , , , , , , , , ,*     6112503  事業-機内飲料品費, ,15300 , , ,8670 , , ,9180 , ,*     6112503  事業-機内飲料品費, ,8670 , , ,8160 , , ,9180 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,15300 , , ,8670 , , ,9180 , ,      CNY  中国元, ,8670 , , ,8160 , , ,9180 , 
*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, , , , , , , , , ,*     6112509  事業-客室ｻｰﾋﾞｽ費, ,6555 , , ,3864 , ,2545 ,4082 ,62 ,*     6112509  事業-客室ｻｰﾋﾞｽ費, ,3876 , , ,3634 , , ,4082 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,6555 , , ,3864 , ,2545 ,4082 ,62 ,      CNY  中国元, ,3876 , , ,3634 , , ,4082 , 
**    地上サービス費(事業),, ,,, ,,, ,,**    地上サービス費(事業),, ,,, ,,, ,,**    地上サービス費(事業),,69273 ,,,69273 ,,,69273 ,,**    地上サービス費(事業),,69273 ,,,69273 ,,,69273 ,
*     6112601  事業-臨時貨客費,, ,,, ,,, ,,*     6112601  事業-臨時貨客費,, ,,, ,,, ,,*     6112601  事業-臨時貨客費,,6512 ,,,6512 ,,,6512 ,,*     6112601  事業-臨時貨客費,,6512 ,,,6512 ,,,6512 ,
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,6512 , ,14 ,6512 ,0 ,150 ,6512 ,2 ,      CNY  中国元, ,6512 , , ,6512 , , ,6512 , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円,11700 , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     6112604  事業-ﾗｳﾝｼﾞ費, , , , , , , , , ,*     6112604  事業-ﾗｳﾝｼﾞ費, , , , , , , , , ,*     6112604  事業-ﾗｳﾝｼﾞ費, ,62761 , , ,62761 , ,102000 ,62761 ,163 ,*     6112604  事業-ﾗｳﾝｼﾞ費, ,62761 , , ,62761 , , ,62761 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,62761 , , ,62761 , ,102000 ,62761 ,163 ,      CNY  中国元, ,62761 , , ,62761 , , ,62761 , 
**    職員給与(事業), , , , , , , , , ,**    職員給与(事業), , , , , , , , , ,**    職員給与(事業), ,58925 , ,63466 ,58925 ,108 ,83575 ,126632 ,66 ,**    職員給与(事業), ,38583 , , ,58925 , , ,58925 , 
*     6114150  事業-海外職員給与, , , , , , , , , ,*     6114150  事業-海外職員給与, , , , , , , , , ,*     6114150  事業-海外職員給与, ,58925 , ,63466 ,58925 ,108 ,83575 ,126632 ,66 ,*     6114150  事業-海外職員給与, ,38583 , , ,58925 , , ,58925 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,58925 , ,63466 ,58925 ,108 ,83575 ,126632 ,66 ,      CNY  中国元, ,38583 , , ,58925 , , ,58925 , 
**    厚生費(事業), , , , , , , , , ,**    厚生費(事業), , , , , , , , , ,**    厚生費(事業), ,37984 , ,47808 ,37984 ,126 ,185584 ,37984 ,489 ,**    厚生費(事業), ,37984 , , ,48784 , , ,37984 , 
*     6114401  事業-厚生費, , , , , , , , , ,*     6114401  事業-厚生費, , , , , , , , , ,*     6114401  事業-厚生費, ,100 , , ,100 , , ,100 , ,*     6114401  事業-厚生費, ,100 , , ,10900 , , ,100 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元, ,100 , , ,10900 , , ,100 , 
*     6114411  事業-社宅賃借費, , , , , , , , , ,*     6114411  事業-社宅賃借費, , , , , , , , , ,*     6114411  事業-社宅賃借費, ,37600 , ,47600 ,37600 ,127 ,185445 ,37600 ,493 ,*     6114411  事業-社宅賃借費, ,37600 , , ,37600 , , ,37600 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,37600 , ,47600 ,37600 ,127 ,185445 ,37600 ,493 ,      CNY  中国元, ,37600 , , ,37600 , , ,37600 , 
*     6114413  事業-教育厚生費, , , , , , , , , ,*     6114413  事業-教育厚生費, , , , , , , , , ,*     6114413  事業-教育厚生費, ,284 , ,208 ,284 ,73 ,139 ,284 ,49 ,*     6114413  事業-教育厚生費, ,284 , , ,284 , , ,284 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,284 , ,208 ,284 ,73 ,139 ,284 ,49 ,      CNY  中国元, ,284 , , ,284 , , ,284 , 
