損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元, ,1600 , , ,1600 , , ,1600 , ,      CNY  中国元, ,1600 , ,518 ,1600 ,32 ,918 ,1600 ,57 ,      CNY  中国元,1090 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    賃借費(事業),,103452 ,,,103452 ,,,103452 ,,**    賃借費(事業),,103452 ,,,103452 ,,,103452 ,,**    賃借費(事業),, ,,, ,,, ,,**    賃借費(事業),, ,,, ,,, ,
*     6115101  事業-建物賃借費, ,67152 , ,201456 ,67152 ,300 , ,67152 , ,*     6115101  事業-建物賃借費, ,67152 , ,201456 ,67152 ,300 , ,67152 , ,*     6115101  事業-建物賃借費, , , , , , , , , ,*     6115101  事業-建物賃借費, , , , , , , , , 
      CNY  中国元, ,67152 , ,201456 ,67152 ,300 , ,67152 , ,      CNY  中国元, ,67152 , ,201456 ,67152 ,300 , ,67152 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6115103  事業-設備機器賃借費,1400 ,2300 ,61 ,2300 ,2300 ,100 ,2300 ,2300 ,100 ,*     6115103  事業-設備機器賃借費,2300 ,2300 ,100 ,2300 ,2300 ,100 ,1400 ,2300 ,61 ,*     6115103  事業-設備機器賃借費,2300 , , , , , , , , ,*     6115103  事業-設備機器賃借費, , , , , , , , , 
      CNY  中国元,1400 ,2300 ,61 ,2300 ,2300 ,100 ,2300 ,2300 ,100 ,      CNY  中国元,2300 ,2300 ,100 ,2300 ,2300 ,100 ,1400 ,2300 ,61 ,      CNY  中国元,2300 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6115105  事業-車両賃借費,34000 ,34000 ,100 ,34000 ,34000 ,100 ,34008 ,34000 ,100 ,*     6115105  事業-車両賃借費,34000 ,34000 ,100 ,34000 ,34000 ,100 ,68000 ,34000 ,200 ,*     6115105  事業-車両賃借費, , , , , , , , , ,*     6115105  事業-車両賃借費, , , , , , , , , 
      CNY  中国元,34000 ,34000 ,100 ,34000 ,34000 ,100 ,34008 ,34000 ,100 ,      CNY  中国元,34000 ,34000 ,100 ,34000 ,34000 ,100 ,68000 ,34000 ,200 ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6115108  事業-ﾘｰｽ資産賃借費,17080 , , ,17080 , , ,17080 , , ,*     6115108  事業-ﾘｰｽ資産賃借費,17080 , , ,17080 , , ,17080 , , ,*     6115108  事業-ﾘｰｽ資産賃借費,17080 , , ,17080 , , , , , ,*     6115108  事業-ﾘｰｽ資産賃借費, , , , , , , , , 
      JPY  日本円,17080 , , ,17080 , , ,17080 , , ,      JPY  日本円,17080 , , ,17080 , , ,17080 , , ,      JPY  日本円,17080 , , ,17080 , , , , , ,      JPY  日本円, , , , , , , , , 
**    水道光熱費(事業),1650 ,1800 ,92 , ,1800 , , ,1800 , ,**    水道光熱費(事業), ,1800 , , ,1800 , ,2376 ,1800 ,132 ,**    水道光熱費(事業),2643 , , , , , , , , ,**    水道光熱費(事業), , , , , , , , , 
*     6115201  事業-水道光熱費,1650 ,1800 ,92 , ,1800 , , ,1800 , ,*     6115201  事業-水道光熱費, ,1800 , , ,1800 , ,2376 ,1800 ,132 ,*     6115201  事業-水道光熱費,2643 , , , , , , , , ,*     6115201  事業-水道光熱費, , , , , , , , , 
      CNY  中国元,1650 ,1800 ,92 , ,1800 , , ,1800 , ,      CNY  中国元, ,1800 , , ,1800 , ,2376 ,1800 ,132 ,      CNY  中国元,2643 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    租税公課(事業), ,1154 , , ,1154 , , ,1154 , ,**    租税公課(事業),600 ,1154 ,52 , ,1154 , , ,1154 , ,**    租税公課(事業), , , , , , , , , ,**    租税公課(事業), , , , , , , , , 
*     6115305  事業-登録免許税, ,1154 , , ,1154 , , ,1154 , ,*     6115305  事業-登録免許税,600 ,1154 ,52 , ,1154 , , ,1154 , ,*     6115305  事業-登録免許税, , , , , , , , , ,*     6115305  事業-登録免許税, , , , , , , , , 
      CNY  中国元, ,1154 , , ,1154 , , ,1154 , ,      CNY  中国元,600 ,1154 ,52 , ,1154 , , ,1154 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    会議費(事業), ,700 , , ,700 , , ,700 , ,**    会議費(事業), ,700 , , ,700 , ,2617 ,700 ,374 ,**    会議費(事業), , , , , , , , , ,**    会議費(事業), , , , , , , , , 
*     6115701  事業-会議費, ,700 , , ,700 , , ,700 , ,*     6115701  事業-会議費, ,700 , , ,700 , ,2617 ,700 ,374 ,*     6115701  事業-会議費, , , , , , , , , ,*     6115701  事業-会議費, , , , , , , , , 
      CNY  中国元, ,700 , , ,700 , , ,700 , ,      CNY  中国元, ,700 , , ,700 , ,2617 ,700 ,374 ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    交際費(事業),600 ,750 ,80 , ,750 , , ,750 , ,**    交際費(事業), ,750 , , ,750 , , ,750 , ,**    交際費(事業), , , , , , , , , ,**    交際費(事業), , , , , , , , , 
*     6115801  事業-交際費,600 ,750 ,80 , ,750 , , ,750 , ,*     6115801  事業-交際費, ,750 , , ,750 , , ,750 , ,*     6115801  事業-交際費, , , , , , , , , ,*     6115801  事業-交際費, , , , , , , , , 
      CNY  中国元,600 ,750 ,80 , ,750 , , ,750 , ,      CNY  中国元, ,750 , , ,750 , , ,750 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    保守管理費(事業), ,1900 , , ,1900 , ,2850 ,2200 ,130 ,**    保守管理費(事業),2850 ,1900 ,150 , ,2200 , ,5700 ,1900 ,300 ,**    保守管理費(事業), , , , , , , , , ,**    保守管理費(事業), , , , , , , , , 
*     6116001  事業-ビル管理費, ,1900 , , ,1900 , ,2850 ,2200 ,130 ,*     6116001  事業-ビル管理費,2850 ,1900 ,150 , ,2200 , ,5700 ,1900 ,300 ,*     6116001  事業-ビル管理費, , , , , , , , , ,*     6116001  事業-ビル管理費, , , , , , , , , 
      CNY  中国元, ,1900 , , ,1900 , ,2850 ,2200 ,130 ,      CNY  中国元,2850 ,1900 ,150 , ,2200 , ,5700 ,1900 ,300 ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    雑費(事業),820 ,12448 ,7 ,26921 ,16948 ,159 ,526 ,12448 ,4 ,**    雑費(事業),123 ,12448 ,1 ,3640 ,12448 ,29 ,15268 ,12448 ,123 ,**    雑費(事業),7406 , , , , , , , , ,**    雑費(事業), , , , , , , , , 
*     6117002  事業-採用関係費,700 , , ,780 , , , , , ,*     6117002  事業-採用関係費, , , , , , , , , ,*     6117002  事業-採用関係費,88 , , , , , , , , ,*     6117002  事業-採用関係費, , , , , , , , , 
      CNY  中国元,700 , , ,780 , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元,88 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6117005  事業-郵便運送費, ,11984 , ,25045 ,11984 ,209 ,16 ,11984 ,0 ,*     6117005  事業-郵便運送費,23 ,11984 ,0 ,3580 ,11984 ,30 ,15188 ,11984 ,127 ,*     6117005  事業-郵便運送費,7258 , , , , , , , , ,*     6117005  事業-郵便運送費, , , , , , , , , 
      CNY  中国元, ,11984 , ,25045 ,11984 ,209 ,16 ,11984 ,0 ,      CNY  中国元,23 ,11984 ,0 ,3580 ,11984 ,30 ,15188 ,11984 ,127 ,      CNY  中国元,7258 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6117099  事業-雑費一般,120 ,464 ,26 ,1096 ,4964 ,22 ,510 ,464 ,110 ,*     6117099  事業-雑費一般,100 ,464 ,22 ,60 ,464 ,13 ,80 ,464 ,17 ,*     6117099  事業-雑費一般,60 , , , , , , , , ,*     6117099  事業-雑費一般, , , , , , , , , 
      CNY  中国元,120 ,464 ,26 ,1096 ,4964 ,22 ,510 ,464 ,110 ,      CNY  中国元,100 ,464 ,22 ,60 ,464 ,13 ,80 ,464 ,17 ,      CNY  中国元,60 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
***   販売費及び一般管理費,,,,,,,,,,***   販売費及び一般管理費,,,,,,,,,,***   販売費及び一般管理費,,,,,,,,,,***   販売費及び一般管理費,,,,,,,,,
**    保険料(販管), , , , , , , , , ,**    保険料(販管),11278 , , , , , , ,12800 , ,**    保険料(販管), , , , , , , , , ,**    保険料(販管), , , , , , , , , 
*     7111699  販管-その他の保険料, , , , , , , , , ,*     7111699  販管-その他の保険料,11278 , , , , , , ,12800 , ,*     7111699  販管-その他の保険料, , , , , , , , , ,*     7111699  販管-その他の保険料, , , , , , , , , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元,11278 , , , , , , ,12800 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    減価償却費(販管),100876 ,100876 ,100 ,100876 ,100876 ,100 ,91660 ,91660 ,100 ,**    減価償却費(販管),84524 ,91660 ,92 ,84522 ,91659 ,92 ,84528 ,91663 ,92 ,**    減価償却費(販管),84521 ,84521 ,100 ,84522 ,84522 ,100 , ,84526 , ,**    減価償却費(販管), ,84524 , , ,84523 , , ,81284 , 
*     7111705  販管-地上資産減価償却費,100876 ,100876 ,100 ,100876 ,100876 ,100 ,91660 ,91660 ,100 ,*     7111705  販管-地上資産減価償却費,84524 ,91660 ,92 ,84522 ,91659 ,92 ,84528 ,91663 ,92 ,*     7111705  販管-地上資産減価償却費,84521 ,84521 ,100 ,84522 ,84522 ,100 , ,84526 , ,*     7111705  販管-地上資産減価償却費, ,84524 , , ,84523 , , ,81284 , 
      JPY  日本円,100876 ,100876 ,100 ,100876 ,100876 ,100 ,91660 ,91660 ,100 ,      JPY  日本円,84524 ,91660 ,92 ,84522 ,91659 ,92 ,84528 ,91663 ,92 ,      JPY  日本円,84521 ,84521 ,100 ,84522 ,84522 ,100 , ,84526 , ,      JPY  日本円, ,84524 , , ,84523 , , ,81284 , 
**    外部委託費(販管),50543 ,63524 ,80 ,55990 ,63524 ,88 ,57121 ,63524 ,90 ,**    外部委託費(販管),162038 ,143755 ,113 ,62543 ,63524 ,98 ,61053 ,63524 ,96 ,**    外部委託費(販管),62372 ,62191 ,100 , ,62191 , , ,62191 , ,**    外部委託費(販管), ,62191 , , ,62191 , , ,62191 , 
*     7112111  販管-一般管理業務委託費,50543 ,63524 ,80 ,55990 ,63524 ,88 ,57121 ,63524 ,90 ,*     7112111  販管-一般管理業務委託費,162038 ,143755 ,113 ,62543 ,63524 ,98 ,61053 ,63524 ,96 ,*     7112111  販管-一般管理業務委託費,62372 ,62191 ,100 , ,62191 , , ,62191 , ,*     7112111  販管-一般管理業務委託費, ,62191 , , ,62191 , , ,62191 , 
      CNY  中国元,50543 ,63524 ,80 ,55990 ,63524 ,88 ,57121 ,63524 ,90 ,      CNY  中国元,162038 ,143755 ,113 ,62543 ,63524 ,98 ,61053 ,63524 ,96 ,      CNY  中国元,62372 ,62191 ,100 , ,62191 , , ,62191 , ,      CNY  中国元, ,62191 , , ,62191 , , ,62191 , 
**    販売手数料(販管),482 ,940 ,51 ,725 ,1230 ,59 ,414 ,1270 ,33 ,**    販売手数料(販管),1094 ,1020 ,107 ,707 ,1190 ,59 ,364 ,1380 ,26 ,**    販売手数料(販管),366 ,1110 ,33 ,153 ,1040 ,15 , ,1150 , ,**    販売手数料(販管), ,900 , , ,1110 , , ,970 , 
*     7113001  販管-旅客販売手数料,482 ,940 ,51 ,725 ,1230 ,59 ,414 ,1270 ,33 ,*     7113001  販管-旅客販売手数料,1094 ,1020 ,107 ,707 ,1190 ,59 ,364 ,1380 ,26 ,*     7113001  販管-旅客販売手数料,366 ,1110 ,33 ,153 ,1040 ,15 , ,1150 , ,*     7113001  販管-旅客販売手数料, ,900 , , ,1110 , , ,970 , 
      CNY  中国元,482 ,940 ,51 ,725 ,1230 ,59 ,414 ,1270 ,33 ,      CNY  中国元,1094 ,1020 ,107 ,707 ,1190 ,59 ,364 ,1380 ,26 ,      CNY  中国元,366 ,1110 ,33 ,153 ,1040 ,15 , ,1150 , ,      CNY  中国元, ,900 , , ,1110 , , ,970 , 
**    販売企画費(販管),,8000 ,,,18000 ,,, ,,**    販売企画費(販管),,54000 ,,,2213 ,,,288900 ,,**    販売企画費(販管),,9640 ,,,69560 ,,,9000 ,,**    販売企画費(販管),,43002 ,,,19000 ,,,251460 ,
*     7113101  販管-旅客販売促進費, , , ,212327 , , , , , ,*     7113101  販管-旅客販売促進費, ,49500 , , , , , ,273900 , ,*     7113101  販管-旅客販売促進費,391115 , , , , , , , , ,*     7113101  販管-旅客販売促進費, , , , , , , ,251460 , 
      CNY  中国元, , , ,212327 , , , , , ,      CNY  中国元, ,49500 , , , , , ,273900 , ,      CNY  中国元,391115 , , , , , , , , ,      CNY  中国元, , , , , , , ,251460 , 
*     7113105  販管-販売促進企画費-貨客,,3500 ,,,18000 ,,, ,,*     7113105  販管-販売促進企画費-貨客,, ,,,2213 ,,,15000 ,,*     7113105  販管-販売促進企画費-貨客,,5640 ,,,8560 ,,,9000 ,,*     7113105  販管-販売促進企画費-貨客,,1002 ,,,19000 ,,, ,
      CNY  中国元,2350 ,3500 ,67 , ,18000 , , , , ,      CNY  中国元, , , ,16011 ,2213 ,724 , ,15000 , ,      CNY  中国元,4487 ,5640 ,80 ,(3911),8560 ,(46), ,9000 , ,      CNY  中国元, ,1002 , , ,19000 , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円,42319 , , ,43200 , , , , , ,      JPY  日本円,4860 , , , , , , , , ,      JPY  日本円, , , , , , , , , 
*     7113106  販管-販売促進企画費-ｾﾐﾅｰ, ,4500 , , , , ,3500 , , ,*     7113106  販管-販売促進企画費-ｾﾐﾅｰ, ,4500 , , , , ,5590 , , ,*     7113106  販管-販売促進企画費-ｾﾐﾅｰ,390 ,4000 ,10 ,8186 ,5000 ,164 , , , ,*     7113106  販管-販売促進企画費-ｾﾐﾅｰ, , , , , , , , , 
      CNY  中国元, ,4500 , , , , ,3500 , , ,      CNY  中国元, ,4500 , , , , ,5590 , , ,      CNY  中国元,390 ,4000 ,10 ,8186 ,5000 ,164 , , , ,      CNY  中国元, , , , , , , , , 
*     7113109  販管-販売企画費(他, , , , , , , , , ,*     7113109  販管-販売企画費(他, , , ,21974 , , , , , ,*     7113109  販管-販売企画費(他, , , , ,28000 , , , , ,*     7113109  販管-販売企画費(他, ,21000 , , , , , , , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , ,21974 , , , , , ,      CNY  中国元, , , , ,28000 , , , , ,      CNY  中国元, ,21000 , , , , , , , 
*     7113183  販管-旅客販促渡航費-100%,, ,,, ,,, ,,*     7113183  販管-旅客販促渡航費-100%,, ,,, ,,, ,,*     7113183  販管-旅客販促渡航費-100%,, ,,,28000 ,,, ,,*     7113183  販管-旅客販促渡航費-100%,,21000 ,,, ,,, ,
      CNY  中国元, , , , , , ,(2200), , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , ,28000 , , , , ,      CNY  中国元, ,21000 , , , , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円,37191 , , ,191963 , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
**    広報宣伝費(販管), , , , ,13040 , , , , ,**    広報宣伝費(販管), , , ,39577 , , , ,6520 , ,**    広報宣伝費(販管), , , , ,12000 , , , , ,**    広報宣伝費(販管), , , , , , , , , 
*     7113211  販管-宣伝費, , , , , , , , , ,*     7113211  販管-宣伝費, , , , , , , , , ,*     7113211  販管-宣伝費, , , , ,12000 , , , , ,*     7113211  販管-宣伝費, , , , , , , , , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , ,12000 , , , , ,      CNY  中国元, , , , , , , , , 
*     7113283  販管-広報宣伝渡航費-100%, , , , ,13040 , , , , ,*     7113283  販管-広報宣伝渡航費-100%, , , ,39577 , , , ,6520 , ,*     7113283  販管-広報宣伝渡航費-100%, , , , , , , , , ,*     7113283  販管-広報宣伝渡航費-100%, , , , , , , , , 
      CNY  中国元, , , , ,13040 , , , , ,      CNY  中国元, , , , , , , ,6520 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , ,39577 , , , , , ,      JPY  日本円, , , , , , , , , ,      JPY  日本円, , , , , , , , , 
**    職員給与(販管),35557 ,84188 ,42 ,36272 ,84188 ,43 ,49740 ,84188 ,59 ,**    職員給与(販管),107501 ,84188 ,128 ,61034 ,150757 ,40 ,77778 ,84188 ,92 ,**    職員給与(販管),43307 ,84188 ,51 ,44231 ,84188 ,53 , ,84188 , ,**    職員給与(販管), ,148882 , , ,84188 , , ,84188 , 
*     7114150  販管-海外職員給与,35557 ,84188 ,42 ,36272 ,84188 ,43 ,49740 ,84188 ,59 ,*     7114150  販管-海外職員給与,107501 ,84188 ,128 ,61034 ,150757 ,40 ,77778 ,84188 ,92 ,*     7114150  販管-海外職員給与,43307 ,84188 ,51 ,44231 ,84188 ,53 , ,84188 , ,*     7114150  販管-海外職員給与, ,148882 , , ,84188 , , ,84188 , 
      CNY  中国元,35557 ,84188 ,42 ,36272 ,84188 ,43 ,49740 ,84188 ,59 ,      CNY  中国元,107501 ,84188 ,128 ,61034 ,150757 ,40 ,77778 ,84188 ,92 ,      CNY  中国元,43307 ,84188 ,51 ,44231 ,84188 ,53 , ,84188 , ,      CNY  中国元, ,148882 , , ,84188 , , ,84188 , 
**    法定福利費(販管), ,10886 , ,5298 ,10886 ,49 ,5214 ,10886 ,48 ,**    法定福利費(販管),5778 ,10886 ,53 ,5778 ,10886 ,53 ,5778 ,10886 ,53 ,**    法定福利費(販管),5778 ,10886 ,53 , ,10886 , , ,10886 , ,**    法定福利費(販管), ,10886 , , ,10886 , , ,10886 , 
*     7114302  販管-海外職員法定福利費, ,10886 , ,5298 ,10886 ,49 ,5214 ,10886 ,48 ,*     7114302  販管-海外職員法定福利費,5778 ,10886 ,53 ,5778 ,10886 ,53 ,5778 ,10886 ,53 ,*     7114302  販管-海外職員法定福利費,5778 ,10886 ,53 , ,10886 , , ,10886 , ,*     7114302  販管-海外職員法定福利費, ,10886 , , ,10886 , , ,10886 , 
      CNY  中国元, ,10886 , ,5298 ,10886 ,49 ,5214 ,10886 ,48 ,      CNY  中国元,5778 ,10886 ,53 ,5778 ,10886 ,53 ,5778 ,10886 ,53 ,      CNY  中国元,5778 ,10886 ,53 , ,10886 , , ,10886 , ,      CNY  中国元, ,10886 , , ,10886 , , ,10886 , 
**    厚生費(販管),30700 ,39857 ,77 ,30100 ,39858 ,76 ,40100 ,39858 ,101 ,**    厚生費(販管),40100 ,39858 ,101 ,30234 ,39858 ,76 ,30100 ,39858 ,76 ,**    厚生費(販管),30100 ,39858 ,76 ,30100 ,39858 ,76 , ,39858 , ,**    厚生費(販管), ,39858 , , ,51858 , , ,39858 , 
*     7114401  販管-厚生費, ,100 , , ,100 , , ,100 , ,*     7114401  販管-厚生費, ,100 , , ,100 , , ,100 , ,*     7114401  販管-厚生費, ,100 , , ,100 , , ,100 , ,*     7114401  販管-厚生費, ,100 , , ,12100 , , ,100 , 
      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元, ,100 , , ,100 , , ,100 , ,      CNY  中国元, ,100 , , ,12100 , , ,100 , 
*     7114411  販管-社宅賃借費,30700 ,39600 ,78 ,30100 ,39600 ,76 ,40100 ,39600 ,101 ,*     7114411  販管-社宅賃借費,40100 ,39600 ,101 ,30100 ,39600 ,76 ,30100 ,39600 ,76 ,*     7114411  販管-社宅賃借費,30100 ,39600 ,76 ,30100 ,39600 ,76 , ,39600 , ,*     7114411  販管-社宅賃借費, ,39600 , , ,39600 , , ,39600 , 
      CNY  中国元,30700 ,39600 ,78 ,30100 ,39600 ,76 ,40100 ,39600 ,101 ,      CNY  中国元,40100 ,39600 ,101 ,30100 ,39600 ,76 ,30100 ,39600 ,76 ,      CNY  中国元,30100 ,39600 ,76 ,30100 ,39600 ,76 , ,39600 , ,      CNY  中国元, ,39600 , , ,39600 , , ,39600 , 
*     7114413  販管-教育厚生費, ,157 , , ,158 , , ,158 , ,*     7114413  販管-教育厚生費, ,158 , ,134 ,158 ,85 , ,158 , ,*     7114413  販管-教育厚生費, ,158 , , ,158 , , ,158 , ,*     7114413  販管-教育厚生費, ,158 , , ,158 , , ,158 , 
      CNY  中国元, ,157 , , ,158 , , ,158 , ,      CNY  中国元, ,158 , ,134 ,158 ,85 , ,158 , ,      CNY  中国元, ,158 , , ,158 , , ,158 , ,      CNY  中国元, ,158 , , ,158 , , ,158 , 
**    旅費交通費(販管),10701 ,11610 ,92 ,12923 ,11610 ,111 ,3731 ,11610 ,32 ,**    旅費交通費(販管),21589 ,11610 ,186 ,16716 ,11610 ,144 ,17856 ,11610 ,154 ,**    旅費交通費(販管),20547 ,10677 ,192 ,8654 ,10677 ,81 , ,10677 , ,**    旅費交通費(販管), ,10677 , , ,10677 , , ,10677 , 
*     7114601  販管-国内出張旅費,10410 ,6720 ,155 ,11602 ,6720 ,173 ,2782 ,6720 ,41 ,*     7114601  販管-国内出張旅費,9264 ,6720 ,138 ,2814 ,6720 ,42 ,7555 ,6720 ,112 ,*     7114601  販管-国内出張旅費,17217 ,5787 ,298 ,4866 ,5787 ,84 , ,5787 , ,*     7114601  販管-国内出張旅費, ,5787 , , ,5787 , , ,5787 , 
      CNY  中国元,10410 ,6720 ,155 ,11602 ,6720 ,173 ,2782 ,6720 ,41 ,      CNY  中国元,9264 ,6720 ,138 ,2814 ,6720 ,42 ,7555 ,6720 ,112 ,      CNY  中国元,17217 ,5787 ,298 ,4866 ,5787 ,84 , ,5787 , ,      CNY  中国元, ,5787 , , ,5787 , , ,5787 , 
*     7114602  販管-海外出張旅費, ,3590 , ,1016 ,3590 ,28 , ,3590 , ,*     7114602  販管-海外出張旅費,10971 ,3590 ,306 ,13474 ,3590 ,375 ,10104 ,3590 ,281 ,*     7114602  販管-海外出張旅費,3132 ,3590 ,87 ,3518 ,3590 ,98 , ,3590 , ,*     7114602  販管-海外出張旅費, ,3590 , , ,3590 , , ,3590 , 
      CNY  中国元, ,3590 , ,1016 ,3590 ,28 , ,3590 , ,      CNY  中国元,10971 ,3590 ,306 ,13474 ,3590 ,375 ,10104 ,3590 ,281 ,      CNY  中国元,3132 ,3590 ,87 ,3518 ,3590 ,98 , ,3590 , ,      CNY  中国元, ,3590 , , ,3590 , , ,3590 , 
*     7114603  販管-外出交通費,291 ,1300 ,22 ,305 ,1300 ,23 ,949 ,1300 ,73 ,*     7114603  販管-外出交通費,1354 ,1300 ,104 ,428 ,1300 ,33 ,197 ,1300 ,15 ,*     7114603  販管-外出交通費,198 ,1300 ,15 ,270 ,1300 ,21 , ,1300 , ,*     7114603  販管-外出交通費, ,1300 , , ,1300 , , ,1300 , 
      CNY  中国元,291 ,1300 ,22 ,305 ,1300 ,23 ,949 ,1300 ,73 ,      CNY  中国元,1354 ,1300 ,104 ,428 ,1300 ,33 ,197 ,1300 ,15 ,      CNY  中国元,198 ,1300 ,15 ,270 ,1300 ,21 , ,1300 , ,      CNY  中国元, ,1300 , , ,1300 , , ,1300 , 
**    通信費(販管),1438 ,2333 ,62 ,1958 ,2333 ,84 ,1830 ,2333 ,78 ,**    通信費(販管), ,2333 , ,4532 ,2333 ,194 ,2583 ,2333 ,111 ,**    通信費(販管),1074 ,2000 ,54 ,933 ,2000 ,47 , ,2000 , ,**    通信費(販管), ,2000 , , ,2000 , , ,2000 , 
*     7114801  販管-通信費,1438 ,2333 ,62 ,1958 ,2333 ,84 ,1830 ,2333 ,78 ,*     7114801  販管-通信費, ,2333 , ,4532 ,2333 ,194 ,2583 ,2333 ,111 ,*     7114801  販管-通信費,1074 ,2000 ,54 ,933 ,2000 ,47 , ,2000 , ,*     7114801  販管-通信費, ,2000 , , ,2000 , , ,2000 , 
      CNY  中国元,1438 ,2333 ,62 ,1958 ,2333 ,84 ,1830 ,2333 ,78 ,      CNY  中国元, ,2333 , ,4532 ,2333 ,194 ,2583 ,2333 ,111 ,      CNY  中国元,1074 ,2000 ,54 ,933 ,2000 ,47 , ,2000 , ,      CNY  中国元, ,2000 , , ,2000 , , ,2000 , 
**    一般消耗品費(販管),4452 ,3525 ,126 ,1799 ,3525 ,51 ,2119 ,3525 ,60 ,**    一般消耗品費(販管),2662 ,3525 ,76 ,1932 ,3525 ,55 ,6492 ,3525 ,184 ,**    一般消耗品費(販管),2426 ,3525 ,69 ,2912 ,3525 ,83 , ,3525 , ,**    一般消耗品費(販管), ,3525 , , ,3525 , , ,3525 , 
*     7114901  販管-一般消耗品費,3737 ,2125 ,176 ,1104 ,2125 ,52 ,1739 ,2125 ,82 ,*     7114901  販管-一般消耗品費,1182 ,2125 ,56 ,1107 ,2125 ,52 ,5447 ,2125 ,256 ,*     7114901  販管-一般消耗品費,1321 ,2125 ,62 ,2087 ,2125 ,98 , ,2125 , ,*     7114901  販管-一般消耗品費, ,2125 , , ,2125 , , ,2125 , 
      CNY  中国元,3737 ,2125 ,176 ,1104 ,2125 ,52 ,1739 ,2125 ,82 ,      CNY  中国元,1182 ,2125 ,56 ,1107 ,2125 ,52 ,5447 ,2125 ,256 ,      CNY  中国元,1321 ,2125 ,62 ,2087 ,2125 ,98 , ,2125 , ,      CNY  中国元, ,2125 , , ,2125 , , ,2125 , 
*     7114906  販管-ｸﾘ-ﾆﾝｸﾞ費,715 ,1400 ,51 ,695 ,1400 ,50 ,380 ,1400 ,27 ,*     7114906  販管-ｸﾘ-ﾆﾝｸﾞ費,1480 ,1400 ,106 ,825 ,1400 ,59 ,1045 ,1400 ,75 ,*     7114906  販管-ｸﾘ-ﾆﾝｸﾞ費,1105 ,1400 ,79 ,825 ,1400 ,59 , ,1400 , ,*     7114906  販管-ｸﾘ-ﾆﾝｸﾞ費, ,1400 , , ,1400 , , ,1400 , 
      CNY  中国元,715 ,1400 ,51 ,695 ,1400 ,50 ,380 ,1400 ,27 ,      CNY  中国元,1480 ,1400 ,106 ,825 ,1400 ,59 ,1045 ,1400 ,75 ,      CNY  中国元,1105 ,1400 ,79 ,825 ,1400 ,59 , ,1400 , ,      CNY  中国元, ,1400 , , ,1400 , , ,1400 , 
**    補修維持費(販管),149 ,680 ,22 , ,680 , , ,680 , ,**    補修維持費(販管),300 ,680 ,44 , ,680 , , ,680 , ,**    補修維持費(販管), ,680 , , ,680 , , ,680 , ,**    補修維持費(販管), ,680 , , ,680 , , ,680 , 
*     7115001  販管-補修維持費,149 ,200 ,75 , ,200 , , ,200 , ,*     7115001  販管-補修維持費, ,200 , , ,200 , , ,200 , ,*     7115001  販管-補修維持費, ,200 , , ,200 , , ,200 , ,*     7115001  販管-補修維持費, ,200 , , ,200 , , ,200 , 
