損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元, ,112785 , , ,112785 , , ,112785 , ,      CNY  中国元,16080 ,112785 ,14 ,160858 ,112785 ,143 , ,112785 , ,      CNY  中国元,10083 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    運航運送委託費(事業),265549 ,550250 ,48 ,390790 ,565782 ,69 ,502642 ,550250 ,91 ,**    運航運送委託費(事業),515050 ,565782 ,91 ,540786 ,565782 ,96 ,564780 ,550250 ,103 ,**    運航運送委託費(事業),518887 , , , , , , , , ,**    運航運送委託費(事業), , , , , , , , , 
*     6112302  事業-旅客運送業務委託費,226815 ,472816 ,48 ,340347 ,488348 ,70 ,430215 ,472816 ,91 ,*     6112302  事業-旅客運送業務委託費,446870 ,488348 ,92 ,462170 ,488348 ,95 ,28989 ,472816 ,6 ,*     6112302  事業-旅客運送業務委託費,439200 , , , , , , , , ,*     6112302  事業-旅客運送業務委託費, , , , , , , , , 
      CNY  中国元,226815 ,472816 ,48 ,340347 ,488348 ,70 ,430215 ,472816 ,91 ,      CNY  中国元,446870 ,488348 ,92 ,462170 ,488348 ,95 ,28989 ,472816 ,6 ,      CNY  中国元,439200 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112304  事業-保安業務委託費,38734 ,77434 ,50 ,50443 ,77434 ,65 ,72427 ,77434 ,94 ,*     6112304  事業-保安業務委託費,68180 ,77434 ,88 ,78616 ,77434 ,102 ,535791 ,77434 ,692 ,*     6112304  事業-保安業務委託費,79687 , , , , , , , , ,*     6112304  事業-保安業務委託費, , , , , , , , , 
      CNY  中国元,38734 ,77434 ,50 ,50443 ,77434 ,65 ,72427 ,77434 ,94 ,      CNY  中国元,68180 ,77434 ,88 ,78616 ,77434 ,102 ,535791 ,77434 ,692 ,      CNY  中国元,79687 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    機内サービス費(事業),193392 ,281121 ,69 ,386181 ,274150 ,141 ,490422 ,283563 ,173 ,**    機内サービス費(事業),303659 ,336800 ,90 ,340588 ,336302 ,101 ,396154 ,288224 ,137 ,**    機内サービス費(事業), , , ,327695 , , , , , ,**    機内サービス費(事業), , , , , , , , , 
*     6112501  事業-機内食費,193392 ,259621 ,74 ,386181 ,251940 ,153 ,490422 ,262063 ,187 ,*     6112501  事業-機内食費,303659 ,314590 ,97 ,340588 ,314092 ,108 ,396154 ,266724 ,149 ,*     6112501  事業-機内食費, , , ,327695 , , , , , ,*     6112501  事業-機内食費, , , , , , , , , 
      CNY  中国元,193392 ,259621 ,74 ,386181 ,251940 ,153 ,490422 ,262063 ,187 ,      CNY  中国元,303659 ,314590 ,97 ,340588 ,314092 ,108 ,396154 ,266724 ,149 ,      CNY  中国元, , , ,327695 , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112503  事業-機内飲料品費, ,15300 , , ,15810 , , ,15300 , ,*     6112503  事業-機内飲料品費, ,15810 , , ,15810 , , ,15300 , ,*     6112503  事業-機内飲料品費, , , , , , , , , ,*     6112503  事業-機内飲料品費, , , , , , , , , 
