POS,ínãÊ,ìXï‹,∏◊Ω,ó∑ãqêî,NET2,ëOîNî‰,ç\ê¨î‰,íPâø,ëOîNó∑ãqêî,ëOîNNET2,ç\ê¨î‰,íPâø
ê¨ìséxìX,ê¨ìs,CTO,LO(K),"3,153","3,166,974 ",42.3%,34.8%,"1,004 ","6,666 ","7,486,611 ",71.7%,"1,123 "
ê¨ìséxìX,ê¨ìs,C-TRIP,LO(K),178,"176,743 ",26379.6%,1.9%,993 ,1 ,670 ,0.0%,670 
ê¨ìséxìX,ê¨ìs,ìSçq,LO(K),31,"30,912 ",-,0.3%,997 ,0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,âÿè§,LO(K),25,"27,444 ",-,0.3%,"1,098 ",0 ,0 ,0.0%,-
ê¨ìséxìX,èdåc,â_è„,LO(K),12,"12,760 ",-,0.1%,"1,063 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,â¿äÏ,LO(K),4,"4,008 ",-,0.0%,"1,002 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,îÚó¥é¿ã∆,LO(K),3,"2,857 ",-,0.0%,952 ,0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,CTO,ÇªÇÃëº(ÇhRNX),32,0 ,0.0%,0.0%,-,36 ,482 ,0.4%,13 
ê¨ìséxìX,ê¨ìs,CTO,çáåv,"3,699","3,777,812 ",46.9%,41.5%,"1,021 ","6,899 ","8,063,465 ",74.3%,"1,169 "
ê¨ìséxìX,ê¨ìs,C-TRIP,çáåv,488,"886,327 ",141.7%,9.7%,"1,816 ",243 ,"625,629 ",2.6%,"2,575 "
ê¨ìséxìX,ê¨ìs,ìSçq,çáåv,299,"797,141 ",78.6%,8.7%,"2,666 ",304 ,"1,014,025 ",3.3%,"3,336 "
ê¨ìséxìX,ê¨ìs,âÿè§,çáåv,208,"583,269 ",72.9%,6.4%,"2,804 ",245 ,"800,525 ",2.6%,"3,267 "
ê¨ìséxìX,ê¨ìs,î¸àü,çáåv,42,"96,747 ",47.4%,1.1%,"2,304 ",50 ,"204,050 ",0.5%,"4,081 "
ê¨ìséxìX,ê¨ìs,ä¬âF,çáåv,14,"49,971 ",59.3%,0.5%,"3,569 ",19 ,"84,207 ",0.2%,"4,432 "
ê¨ìséxìX,ê¨ìs,â¿äÏ,çáåv,15,"33,712 ",39.7%,0.4%,"2,247 ",30 ,"84,900 ",0.3%,"2,830 "
ê¨ìséxìX,èdåc,â_è„,çáåv,27,"31,152 ",56.8%,0.3%,"1,154 ",32 ,"54,813 ",0.3%,"1,713 "
ê¨ìséxìX,ê¨ìs,ÇªÇÃëºAGT,çáåv,13,"25,520 ",400.0%,0.3%,"1,963 ",4 ,"6,380 ",0.0%,"1,595 "
ê¨ìséxìX,ê¨ìs,îÚó¥é¿ã∆,çáåv,7,"10,442 ",23.5%,0.1%,"1,492 ",14 ,"44,359 ",0.2%,"3,169 "
ê¨ìséxìX,ê¨ìs,élêÏó¥„ƒ,çáåv,2,"8,768 ",-,0.1%,"4,384 ",0 ,0 ,0.0%,-
ê¨ìséxìX,ê¨ìs,íCãP,çáåv,0,0 ,0.0%,0.0%,-,4 ,"6,088 ",0.0%,"1,522 "
ê¨ìséxìX,ê¨ìs,íÜêÏçëç€,çáåv,0,0 ,0.0%,0.0%,-,1 ,"2,224 ",0.0%,"2,224 "
ê¨ìséxìX,ê¨ìs,ñQíB,çáåv,0,0 ,0.0%,0.0%,-,6 ,"12,151 ",0.1%,"2,025 "
ê¨ìséxìX,èdåc,òAñL,çáåv,0,0 ,0.0%,0.0%,-,2 ,"5,876 ",0.0%,"2,938 "
ê¨ìséxìX,çáåv,çáåv,çáåv,"4,814","6,300,861 ",57.2%,69.2%,"1,309 ","7,853 ","11,008,692 ",84.5%,"1,402 "
ëºínãÊ,ASW,ASW,C(CDZPJ),21,"106,549 ",76.9%,1.2%,"5,074 ",21 ,"138,538 ",0.2%,"6,597 "
ëºínãÊ,ASW,ASW,HI(BMUHQ),53,"172,253 ",121.9%,1.9%,"3,250 ",45 ,"141,337 ",0.5%,"3,141 "
ëºínãÊ,ASW,ASW,MID(VWSL),477,"686,206 ",76.5%,7.5%,"1,439 ",507 ,"897,500 ",5.5%,"1,770 "
ëºínãÊ,ASW,ASW,LO(K),202,"211,801 ",-,2.3%,"1,049 ",0 ,0 ,0.0%,-
ëºínãÊ,ASW,ASW,ÇªÇÃëº(ÇhRNX),23,0 ,-,0.0%,-,36 ,0 ,0.4%,-
ëºínãÊ,ASW,çáåv,çáåv,776,"1,176,809 ",100.0%,12.9%,"1,517 ",609 ,"1,177,375 ",6.6%,"1,933 "
ëºínãÊ,AGT/ANA,AGT/ANA,C(CDZPJ),89,"427,180 ",109.2%,4.7%,"4,800 ",55 ,"391,267 ",0.6%,"7,114 "
ëºínãÊ,AGT/ANA,AGT/ANA,YE(Y),3,"40,585 ",114.9%,0.4%,"13,528 ",4 ,"35,325 ",0.0%,"8,831 "
ëºínãÊ,AGT/ANA,AGT/ANA,HI(BMUHQ),94,"341,011 ",74.1%,3.7%,"3,628 ",133 ,"460,390 ",1.4%,"3,462 "
ëºínãÊ,AGT/ANA,AGT/ANA,MID(VWSL),392,"742,652 ",64.2%,8.2%,"1,895 ",626 ,"1,156,560 ",6.7%,"1,848 "
ëºínãÊ,AGT/ANA,AGT/ANA,LO(K),74,"77,575 ",-,0.9%,"1,048 ",0 ,0 ,0.0%,-
ëºínãÊ,AGT/ANA,AGT/ANA,ÇªÇÃëº(ÇhRNX),10,"4,034 ",147.4%,0.0%,403 ,11 ,"2,736 ",0.1%,249 
ëºínãÊ,AGT/ANA,çáåv,çáåv,662,"1,633,037 ",79.8%,17.9%,"2,467 ",829 ,"2,046,278 ",8.9%,"2,468 "
C(CDZPJ),çáåv,çáåv,çáåv,241,"1,328,874 ",70.5%,14.6%,"5,514 ",297 ,"1,886,110 ",3.2%,"6,351 "
YE(Y),çáåv,çáåv,çáåv,3,"40,585 ",56.0%,0.4%,"13,528 ",9 ,"72,410 ",0.1%,"8,046 "
HI(BMUHQ),çáåv,çáåv,çáåv,287,"1,008,770 ",72.7%,11.1%,"3,515 ",389 ,"1,387,525 ",4.2%,"3,567 "
MID(VWSL),çáåv,çáåv,çáåv,"1,974","3,017,370 ",88.9%,33.1%,"1,529 ","1,846 ","3,395,801 ",19.9%,"1,840 "
LO(K),çáåv,çáåv,çáåv,"3,682","3,711,074 ",49.6%,40.7%,"1,008 ","6,667 ","7,487,281 ",71.8%,"1,123 "
ÇªÇÃëº(ÇhRNX),çáåv,çáåv,çáåv,65,"4,034 ",125.4%,0.0%,62 ,83 ,"3,218 ",0.9%,39 
çáåv,çáåv,çáåv,çáåv,"6,252","9,110,707 ",64.0%,100.0%,"1,457 ","9,291 ","14,232,345 ",100.0%,"1,532 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
